fips,county,state,hs_total,hs_occupied,hs_vacant
37001,Alamance,NC,66576,59960,6616
37003,Alexander,NC,16189,14425,1764
37005,Alleghany,NC,8094,4778,3316
37007,Anson,NC,11576,9755,1821
37009,Ashe,NC,17342,11755,5587
37011,Avery,NC,13890,6664,7226
37013,Beaufort,NC,24688,19941,4747
37015,Bertie,NC,9822,8359,1463
37017,Bladen,NC,17718,14430,3288
37019,Brunswick,NC,77482,46297,31185
37021,Buncombe,NC,113365,100412,12953
37023,Burke,NC,40879,35804,5075
37025,Cabarrus,NC,71937,65666,6271
37027,Caldwell,NC,37659,33388,4271
37029,Camden,NC,4104,3675,429
37031,Carteret,NC,48179,28870,19309
37033,Caswell,NC,10619,9190,1429
37035,Catawba,NC,67886,60887,6999
37037,Chatham,NC,28753,25845,2908
37039,Cherokee,NC,17515,11753,5762
37041,Chowan,NC,7289,6059,1230
37043,Clay,NC,7140,4660,2480
37045,Cleveland,NC,43373,38555,4818
37047,Columbus,NC,26042,22489,3553
37049,Craven,NC,45002,40299,4703
37051,Cumberland,NC,135524,122431,13093
37053,Currituck,NC,14453,8880,5573
37055,Dare,NC,33492,14335,19157
37057,Davidson,NC,72655,64515,8140
37059,Davie,NC,18238,16245,1993
37061,Duplin,NC,25728,22495,3233
37063,Durham,NC,120217,109348,10869
37065,Edgecombe,NC,24838,21680,3158
37067,Forsyth,NC,156872,141163,15709
37069,Franklin,NC,26577,23023,3554
37071,Gaston,NC,88686,79867,8819
37073,Gates,NC,5208,4665,543
37075,Graham,NC,5930,3701,2229
37077,Granville,NC,22827,20628,2199
37079,Greene,NC,8213,7313,900
37081,Guilford,NC,218017,196628,21389
37083,Halifax,NC,25781,21970,3811
37085,Harnett,NC,46731,41594,5137
37087,Haywood,NC,34954,25563,9391
37089,Henderson,NC,54710,45448,9262
37091,Hertford,NC,10635,9334,1301
37093,Hoke,NC,18211,16532,1679
37095,Hyde,NC,3347,2119,1228
37097,Iredell,NC,69013,61215,7798
37099,Jackson,NC,25948,16446,9502
37101,Johnston,NC,67682,61909,5773
37103,Jones,NC,4838,4167,671
37105,Lee,NC,24136,22058,2078
37107,Lenoir,NC,27437,24327,3110
37109,Lincoln,NC,33641,30343,3298
37111,McDowell,NC,20808,17838,2970
37113,Macon,NC,25245,14591,10654
37115,Madison,NC,10608,8494,2114
37117,Martin,NC,11704,10318,1386
37119,Mecklenburg,NC,398510,362213,36297
37121,Mitchell,NC,8713,6685,2028
37123,Montgomery,NC,15914,10544,5370
37125,Moore,NC,43940,37540,6400
37127,Nash,NC,42286,37782,4504
37129,New Hanover,NC,101436,86046,15390
37131,Northampton,NC,11674,9193,2481
37133,Onslow,NC,68226,60092,8134
37135,Orange,NC,55597,51457,4140
37137,Pamlico,NC,7534,5490,2044
37139,Pasquotank,NC,16833,14956,1877
37141,Pender,NC,26724,20333,6391
37143,Perquimans,NC,6986,5598,1388
37145,Person,NC,18193,15826,2367
37147,Pitt,NC,74990,67577,7413
37149,Polk,NC,11432,8989,2443
37151,Randolph,NC,61041,55373,5668
37153,Richmond,NC,20738,18430,2308
37155,Robeson,NC,52751,47997,4754
37157,Rockingham,NC,43696,38693,5003
37159,Rowan,NC,60211,53140,7071
37161,Rutherford,NC,33878,27466,6412
37163,Sampson,NC,27234,24005,3229
37165,Scotland,NC,15193,13614,1579
37167,Stanly,NC,27110,23589,3521
37169,Stokes,NC,21924,19416,2508
37171,Surry,NC,33667,29914,3753
37173,Swain,NC,8723,5672,3051
37175,Transylvania,NC,19163,14394,4769
37177,Tyrrell,NC,2068,1595,473
37179,Union,NC,72870,67864,5006
37181,Vance,NC,20082,17395,2687
37183,Wake,NC,371836,345645,26191
37185,Warren,NC,11806,8321,3485
37187,Washington,NC,6491,5526,965
37189,Watauga,NC,32137,20403,11734
37191,Wayne,NC,52949,47831,5118
37193,Wilkes,NC,33065,28360,4705
37195,Wilson,NC,35511,31962,3549
37197,Yadkin,NC,17341,15486,1855
37199,Yancey,NC,11032,7644,3388
